pickup_year,pickup_area_code,count
2022,89.0,97984
2022,90.0,267040
2022,91.0,103792
2022,92.0,176801
2022,93.0,573515
2022,94.0,176797
2022,95.0,1201422
2022,96.0,205588
2022,97.0,192115
2022,98.0,399808
2022,99.0,170523
2022,100.0,201816
2022,101.0,147456
2022,102.0,109301
2022,103.0,148553
2022,104.0,563795
2022,105.0,120500
2022,106.0,135246
2022,107.0,189908
2022,108.0,148106
2022,109.0,89218
2022,110.0,111938
2022,111.0,209783
2022,112.0,73919
2022,113.0,196390
2022,114.0,55967
2022,115.0,134447
2022,116.0,72809
2022,117.0,205186
2022,118.0,175722
2022,119.0,365094
2022,120.0,277679
2022,121.0,101921
2022,122.0,184642
2022,123.0,117411
2022,124.0,152171
2022,125.0,88320
2022,126.0,235859
2022,127.0,419106
2022,128.0,210266
2022,129.0,119347
2022,130.0,174913
2022,131.0,228922
2022,132.0,291029
2022,133.0,38184
2022,134.0,114128
2022,135.0,118397
2022,136.0,206396
2022,137.0,452184
2022,138.0,168992
2022,139.0,101442
2022,140.0,41605
2022,,0
2023,1.0,71834
2023,2.0,23546
2023,3.0,8088
2023,4.0,7462
2023,5.0,7930
2023,6.0,16330
2023,7.0,12979
2023,8.0,5382
2023,9.0,8997
2023,10.0,5698
2023,11.0,10709
2023,12.0,5484
2023,13.0,8813
2023,14.0,75540
2023,15.0,9199
2023,16.0,19262
2023,17.0,41023
2023,18.0,12912
2023,19.0,10188
2023,20.0,9720
2023,21.0,14770
2023,22.0,13607
2023,23.0,9593
2023,24.0,16549
2023,25.0,27491
2023,26.0,50284
2023,27.0,60306
2023,28.0,7087
2023,29.0,6281
2023,30.0,17092
2023,31.0,42487
2023,32.0,16755
2023,33.0,18328
2023,34.0,11901
2023,35.0,17099
2023,36.0,26168
2023,37.0,16118
2023,38.0,16109
2023,39.0,18115
2023,40.0,16044
2023,41.0,15789
2023,42.0,24025
2023,43.0,12052
2023,44.0,12618
2023,45.0,23499
2023,46.0,7994
2023,47.0,22713
2023,48.0,13999
2023,49.0,5724
2023,50.0,16074
2023,51.0,41078
2023,52.0,22967
2023,53.0,21009
2023,54.0,12787
2023,55.0,15105
2023,56.0,12389
2023,57.0,8218
2023,58.0,6199
2023,59.0,11521
2023,60.0,4420
2023,61.0,8005
2023,62.0,18015
2023,63.0,19563
2023,64.0,9113
2023,65.0,13381
2023,66.0,9351
2023,67.0,9336
2023,68.0,13420
2023,69.0,6448
2023,70.0,55623
2023,71.0,17806
2023,72.0,20775
2023,73.0,57147
2023,74.0,26272
2023,75.0,160315
2023,76.0,227834
2023,77.0,383436
2023,78.0,98394
2023,79.0,42595
2023,80.0,38076
2023,81.0,67369
2023,82.0,113770
2023,83.0,23146
2023,84.0,44431
2023,85.0,40733
2023,86.0,23945
2023,87.0,25826
2023,88.0,20390
2023,89.0,8427
2023,90.0,23411
2023,91.0,9414
2023,92.0,15301
2023,93.0,51434
2023,94.0,15995
2023,95.0,107659
2023,96.0,16717
2023,97.0,17028
2023,98.0,33988
2023,99.0,15005
2023,100.0,17561
2023,101.0,12932
2023,102.0,9713
2023,103.0,12322
2023,104.0,49649
2023,105.0,10152
2023,106.0,11885
2023,107.0,16206
2023,108.0,13565
2023,109.0,7254
2023,110.0,9715
2023,111.0,17120
2023,112.0,6909
2023,113.0,17013
2023,114.0,4584
2023,115.0,11332
2023,116.0,7454
2023,117.0,19711
2023,118.0,16267
2023,119.0,34098
2023,120.0,24443
2023,121.0,9487
2023,122.0,15568
2023,123.0,9813
2023,124.0,13634
2023,125.0,8091
2023,126.0,20657
2023,127.0,38812
2023,128.0,19461
2023,129.0,11464
2023,130.0,17654
2023,131.0,21144
2023,132.0,26899
2023,133.0,3446
2023,134.0,12688
2023,135.0,11402
2023,136.0,18279
2023,137.0,42934
2023,138.0,14742
2023,139.0,8971
2023,140.0,3519
2023,,0
